text,buzz,views,visibility,quien_puede_responder,fecha,hora
Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,,2713,false,Todos,2022-08-22,2:00 PM
In blandit ultrices enim.,,3979,false,Todos,2022-09-10,9:04 PM
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",,6543,true,Todos,2023-03-20,9:11 AM
Donec semper sapien a libero. Nam dui.,,2535,false,Todos,2023-05-19,3:42 AM
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",,1949,false,Todos,2022-12-14,3:29 PM
Donec semper sapien a libero. Nam dui.,middleware,1303,true,Todos,2023-01-30,10:17 PM
"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",,2168,false,Todos,2022-06-18,11:55 AM
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,Organized,5009,true,Seguidos,2023-03-25,7:32 AM
Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,,1632,true,Todos,2022-06-10,7:20 PM
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Centralized,266,true,Todos,2022-08-03,6:41 AM
Phasellus sit amet erat. Nulla tempus.,,3873,false,Todos,2023-02-04,4:24 PM
Praesent id massa id nisl venenatis lacinia.,,3523,true,Menciones,2023-02-04,2:42 PM
In quis justo. Maecenas rhoncus aliquam lacus.,homogeneous,2722,false,Todos,2022-12-27,12:01 PM
Aliquam non mauris. Morbi non lectus.,,3114,true,Todos,2022-12-27,2:50 PM
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,,1462,true,Todos,2022-12-02,10:45 AM
Nulla tempus.,,7587,true,Menciones,2023-05-15,6:39 AM
Sed accumsan felis. Ut at dolor quis odio consequat varius.,,5845,false,Todos,2022-06-21,2:13 AM
Integer ac leo. Pellentesque ultrices mattis odio.,,2471,true,Seguidos,2023-05-19,2:13 AM
Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,,762,false,Todos,2022-07-18,12:07 AM
Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,,4076,true,Todos,2023-02-22,8:26 PM
Nulla suscipit ligula in lacus.,,6783,true,Todos,2022-07-11,8:32 PM
Vivamus vestibulum sagittis sapien.,,4356,false,Todos,2023-04-23,4:41 AM
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",,7363,false,Todos,2023-01-13,12:14 AM
Nullam porttitor lacus at turpis.,,3573,true,Seguidos,2023-02-15,7:37 AM
Duis mattis egestas metus.,,5351,false,Todos,2022-05-31,10:08 PM
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",,4151,false,Todos,2022-06-29,11:25 PM
Morbi vel lectus in quam fringilla rhoncus.,,195,false,Todos,2023-05-19,8:42 AM
Praesent blandit.,,4853,true,Todos,2022-12-27,9:52 AM
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",,7115,true,Todos,2022-10-19,8:41 AM
Phasellus in felis.,,4221,true,Menciones,2023-01-01,10:01 AM
Donec dapibus. Duis at velit eu est congue elementum.,asynchronous,564,true,Todos,2022-08-19,9:12 AM
Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,methodology,3609,false,Todos,2022-09-01,11:25 AM
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",mission-critical,7033,false,Todos,2022-07-08,3:10 PM
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",4th generation,1779,true,Todos,2023-04-29,4:46 AM
Praesent blandit.,Synergistic,6148,true,Todos,2023-01-29,8:06 PM
Quisque id justo sit amet sapien dignissim vestibulum.,,6684,false,Todos,2023-02-07,11:39 PM
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",,2285,false,Todos,2023-05-13,10:53 PM
Aliquam quis turpis eget elit sodales scelerisque.,,4966,false,Todos,2022-05-28,8:48 PM
"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",,2768,true,Todos,2022-08-16,1:17 AM
Nullam molestie nibh in lectus. Pellentesque at nulla.,utilisation,1988,true,Seguidos,2022-10-06,9:08 PM
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",,7892,true,Todos,2022-07-28,9:28 PM
Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,,6598,true,Todos,2022-06-16,3:11 AM
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,,1113,false,Menciones,2022-12-31,12:41 AM
Integer non velit.,,5323,false,Todos,2023-01-31,6:24 PM
Morbi porttitor lorem id ligula.,,398,true,Todos,2022-06-18,1:40 PM
Donec dapibus. Duis at velit eu est congue elementum.,value-added,6839,false,Todos,2022-06-01,12:15 AM
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Graphic Interface,6722,true,Todos,2022-09-06,3:51 AM
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",neutral,6411,true,Menciones,2022-08-09,12:01 PM
Proin risus. Praesent lectus.,paradigm,2806,false,Todos,2022-10-17,8:25 AM
Vivamus tortor. Duis mattis egestas metus.,,3112,true,Todos,2023-04-19,10:44 AM
Praesent lectus.,,5127,false,Todos,2023-03-09,1:16 PM
Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,,5316,false,Todos,2023-02-24,10:28 AM
In hac habitasse platea dictumst.,,3588,false,Todos,2022-07-31,10:06 AM
Donec semper sapien a libero.,,847,false,Todos,2023-03-06,4:46 PM
Quisque ut erat. Curabitur gravida nisi at nibh.,,7228,true,Todos,2022-10-18,2:55 AM
Vestibulum sed magna at nunc commodo placerat.,,745,true,Todos,2023-01-22,9:31 PM
Nulla ut erat id mauris vulputate elementum. Nullam varius.,complexity,2684,false,Todos,2022-07-14,5:27 PM
In hac habitasse platea dictumst.,,6909,false,Todos,2022-10-26,4:25 AM
Nulla ac enim.,,3544,true,Todos,2022-11-11,1:00 PM
Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,,2471,false,Todos,2023-05-12,2:32 PM
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,multimedia,7014,false,Todos,2022-09-21,8:28 PM
Nunc purus. Phasellus in felis.,approach,968,true,Todos,2022-08-02,10:36 AM
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",functionalities,2711,false,Todos,2023-04-18,10:27 AM
Pellentesque eget nunc.,,1283,false,Todos,2022-06-05,8:59 PM
Phasellus sit amet erat. Nulla tempus.,Object-based,6814,true,Todos,2022-06-05,6:38 PM
Morbi quis tortor id nulla ultrices aliquet.,composite,7853,true,Todos,2022-08-16,6:53 PM
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",,545,false,Todos,2023-05-03,1:35 AM
Aenean sit amet justo. Morbi ut odio.,,6755,true,Todos,2023-01-28,8:55 AM
Pellentesque ultrices mattis odio.,,4679,true,Todos,2023-01-11,5:48 AM
Quisque ut erat. Curabitur gravida nisi at nibh.,,3380,true,Todos,2022-12-24,11:53 AM
Fusce consequat.,,1542,true,Todos,2023-04-01,11:44 PM
Etiam vel augue.,system-worthy,4269,false,Menciones,2023-04-29,1:59 PM
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",ability,3224,false,Todos,2022-07-10,4:50 AM
Mauris lacinia sapien quis libero.,,4757,true,Todos,2023-03-24,12:14 AM
Donec ut mauris eget massa tempor convallis.,Open-source,7173,true,Todos,2022-06-10,9:05 PM
Donec posuere metus vitae ipsum. Aliquam non mauris.,infrastructure,7285,false,Todos,2022-10-23,8:55 AM
Duis aliquam convallis nunc.,Centralized,7495,true,Todos,2022-06-09,10:15 PM
Nam nulla.,,6273,true,Seguidos,2023-03-08,7:38 PM
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Organized,1668,false,Todos,2023-02-08,6:55 PM
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",,948,false,Todos,2023-03-16,5:20 AM
"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",,2747,true,Todos,2022-12-10,12:39 AM
Sed ante. Vivamus tortor.,,5444,false,Todos,2022-08-23,5:20 AM
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",,5595,true,Menciones,2022-06-04,2:37 PM
Donec dapibus. Duis at velit eu est congue elementum.,,7607,true,Menciones,2023-04-03,4:09 AM
Mauris sit amet eros.,,4996,true,Menciones,2022-12-19,3:51 AM
Pellentesque at nulla.,,3387,true,Todos,2022-08-21,11:36 PM
Suspendisse potenti. In eleifend quam a odio.,Reverse-engineered,3018,false,Todos,2022-06-14,3:49 PM
Nulla nisl. Nunc nisl.,explicit,40,true,Todos,2022-06-13,7:37 PM
Nulla ut erat id mauris vulputate elementum.,,5358,false,Todos,2022-07-31,2:21 PM
Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,,3581,false,Seguidos,2022-09-22,3:12 PM
Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,,4910,true,Todos,2022-09-24,10:58 AM
"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",,1374,false,Todos,2022-07-16,11:11 AM
Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,,7115,true,Todos,2022-06-26,11:35 PM
"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Re-engineered,4523,false,Todos,2022-06-14,12:45 PM
Integer a nibh. In quis justo.,,7480,true,Menciones,2022-09-11,11:16 PM
Integer ac leo. Pellentesque ultrices mattis odio.,,6882,true,Todos,2022-06-03,7:51 AM
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",,4302,false,Todos,2023-03-23,11:17 AM
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,analyzer,5975,false,Todos,2023-03-09,10:45 PM
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",,206,true,Todos,2022-09-30,11:29 PM
Aliquam non mauris. Morbi non lectus.,background,1372,false,Menciones,2022-05-30,9:47 AM
Nulla ut erat id mauris vulputate elementum. Nullam varius.,,1657,false,Todos,2022-11-25,6:14 PM
Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,,6273,false,Todos,2023-03-27,8:49 AM
Duis consequat dui nec nisi volutpat eleifend.,,6349,true,Todos,2023-02-16,4:51 PM
Nam dui.,,984,false,Todos,2022-12-02,11:57 PM
"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",,5196,false,Todos,2023-04-12,9:25 PM
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",,4512,false,Todos,2022-08-18,10:36 PM
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",,866,false,Todos,2023-05-08,3:30 PM
In sagittis dui vel nisl.,,4894,true,Todos,2022-11-28,12:44 AM
In eleifend quam a odio.,Enhanced,461,false,Todos,2022-11-09,7:39 PM
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,,6487,false,Seguidos,2023-04-12,3:54 PM
Nam dui.,Sharable,6773,true,Todos,2023-03-16,1:24 AM
Etiam pretium iaculis justo. In hac habitasse platea dictumst.,,2211,false,Todos,2023-03-31,3:44 PM
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",,7989,true,Todos,2023-04-27,5:03 AM
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Multi-lateral,3072,true,Todos,2023-01-08,4:29 PM
Proin interdum mauris non ligula pellentesque ultrices.,Function-based,5750,false,Todos,2022-11-17,6:39 PM
Donec posuere metus vitae ipsum. Aliquam non mauris.,,1565,false,Todos,2022-10-18,11:17 PM
Suspendisse potenti. Nullam porttitor lacus at turpis.,,4953,true,Todos,2022-11-15,10:34 PM
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,,6575,true,Todos,2022-09-04,12:43 AM
Fusce consequat.,disintermediate,446,false,Todos,2022-08-09,10:29 PM
Etiam faucibus cursus urna. Ut tellus.,,3325,true,Todos,2023-05-18,1:27 AM
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",,648,false,Todos,2022-10-05,8:42 PM
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Multi-layered,5228,false,Menciones,2023-04-02,3:03 PM
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",,850,false,Todos,2023-04-30,2:41 PM
Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Customizable,5165,true,Todos,2023-01-03,1:52 PM
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",didactic,339,true,Todos,2022-12-12,8:38 AM
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",,1354,false,Todos,2022-06-14,12:30 AM
Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,,5010,true,Todos,2022-08-02,10:39 AM
Etiam vel augue. Vestibulum rutrum rutrum neque.,,4386,false,Todos,2023-01-22,2:20 PM
Aliquam erat volutpat. In congue.,,3215,false,Todos,2022-08-05,2:01 PM
Pellentesque eget nunc.,,1430,true,Menciones,2022-08-05,6:22 AM
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",,237,false,Todos,2022-07-26,10:59 PM
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",,3420,false,Todos,2023-05-17,1:12 PM
Integer ac leo. Pellentesque ultrices mattis odio.,groupware,1708,true,Menciones,2022-10-01,7:35 AM
Aenean lectus. Pellentesque eget nunc.,,6000,false,Todos,2022-06-25,1:21 AM
Nunc nisl.,neural-net,438,true,Seguidos,2022-07-04,11:24 PM
"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Automated,7571,true,Todos,2023-01-07,6:40 PM
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",,7051,false,Todos,2023-03-20,5:50 AM
Nullam porttitor lacus at turpis.,,4803,false,Todos,2023-02-20,9:30 PM
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",,919,false,Todos,2022-11-25,7:00 AM
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",focus group,703,true,Todos,2023-05-04,9:41 PM
Proin at turpis a pede posuere nonummy. Integer non velit.,,7713,false,Todos,2022-05-28,9:12 AM
Curabitur convallis.,,5671,true,Todos,2023-02-16,11:23 AM
Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,,2282,false,Todos,2022-05-29,6:13 PM
"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",,3661,false,Todos,2022-09-26,7:11 PM
Integer ac leo. Pellentesque ultrices mattis odio.,,1121,true,Seguidos,2023-03-25,8:58 PM
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",,4933,false,Todos,2022-11-28,1:58 AM
Proin at turpis a pede posuere nonummy.,holistic,3564,true,Todos,2022-11-02,6:13 AM
Vestibulum sed magna at nunc commodo placerat.,,5615,false,Menciones,2022-06-15,11:37 AM
"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Triple-buffered,7861,true,Seguidos,2022-06-09,9:15 PM
In quis justo.,,4756,true,Todos,2023-04-16,1:37 AM
Vivamus vel nulla eget eros elementum pellentesque.,Persistent,2441,true,Todos,2023-01-07,11:40 AM
